Mod:Item:MetaData, Localized Name
gregtech:gt.meta.storage.gem:9102, oredict.blockGemAndradite.name
gregtech:gt.meta.storage.gem:9119, oredict.blockGemGrossular.name
gregtech:gt.meta.storage.gem:9127, oredict.blockGemPyrope.name
gregtech:gt.meta.storage.gem:9129, oredict.blockGemSpessartine.name
gregtech:gt.meta.storage.gem:9135, oredict.blockGemUvarovite.name
gregtech:gt.meta.storage.gem:9156, oredict.blockGemMalachite.name
gregtech:gt.meta.storage.gem:9180, oredict.blockGemQuartzite.name
gregtech:gt.meta.storage.gem:9802, oredict.blockGemIce.name
gregtech:gt.meta.storage.dust:30, oredict.blockDustLithium.name
gregtech:gt.meta.storage.dust:31, oredict.blockDustLithium6.name
gregtech:gt.meta.storage.dust:40, oredict.blockDustBeryllium.name
gregtech:gt.meta.storage.dust:50, oredict.blockDustBoron.name
gregtech:gt.meta.storage.dust:60, oredict.blockDustCarbon.name
gregtech:gt.meta.storage.dust:61, oredict.blockDustCarbon13.name
gregtech:gt.meta.storage.dust:62, oredict.blockDustCarbon14.name
gregtech:gt.meta.storage.dust:90, oredict.blockDustFluorine.name
gregtech:gt.meta.storage.dust:110, oredict.blockDustSodium.name
gregtech:gt.meta.storage.dust:120, oredict.blockDustMagnesium.name
gregtech:gt.meta.storage.dust:130, oredict.blockDustAluminium.name
gregtech:gt.meta.storage.dust:140, oredict.blockDustSilicon.name
gregtech:gt.meta.storage.dust:150, oredict.blockDustPhosphor.name
gregtech:gt.meta.storage.dust:160, oredict.blockDustSulfur.name
gregtech:gt.meta.storage.dust:170, oredict.blockDustChlorine.name
gregtech:gt.meta.storage.dust:190, oredict.blockDustPotassium.name
gregtech:gt.meta.storage.dust:200, oredict.blockDustCalcium.name
gregtech:gt.meta.storage.dust:220, oredict.blockDustTitanium.name
gregtech:gt.meta.storage.dust:230, oredict.blockDustVanadium.name
gregtech:gt.meta.storage.dust:240, oredict.blockDustChromium.name
gregtech:gt.meta.storage.dust:250, oredict.blockDustManganese.name
gregtech:gt.meta.storage.dust:260, oredict.blockDustIron.name
gregtech:gt.meta.storage.dust:270, oredict.blockDustCobalt.name
gregtech:gt.meta.storage.dust:278, oredict.blockDustCobalt60.name
gregtech:gt.meta.storage.dust:280, oredict.blockDustNickel.name
gregtech:gt.meta.storage.dust:290, oredict.blockDustCopper.name
gregtech:gt.meta.storage.dust:300, oredict.blockDustZinc.name
gregtech:gt.meta.storage.dust:310, oredict.blockDustGallium.name
gregtech:gt.meta.storage.dust:350, oredict.blockDustBromine.name
gregtech:gt.meta.storage.dust:370, oredict.blockDustRubidium.name
gregtech:gt.meta.storage.dust:380, oredict.blockDustStrontium.name
gregtech:gt.meta.storage.dust:390, oredict.blockDustYttrium.name
gregtech:gt.meta.storage.dust:400, oredict.blockDustZirconium.name
gregtech:gt.meta.storage.dust:410, oredict.blockDustNiobium.name
gregtech:gt.meta.storage.dust:420, oredict.blockDustMolybdenum.name
gregtech:gt.meta.storage.dust:440, oredict.blockDustRuthenium.name
gregtech:gt.meta.storage.dust:450, oredict.blockDustRhodium.name
gregtech:gt.meta.storage.dust:460, oredict.blockDustPalladium.name
gregtech:gt.meta.storage.dust:470, oredict.blockDustSilver.name
gregtech:gt.meta.storage.dust:480, oredict.blockDustCadmium.name
gregtech:gt.meta.storage.dust:490, oredict.blockDustIndium.name
gregtech:gt.meta.storage.dust:500, oredict.blockDustTin.name
gregtech:gt.meta.storage.dust:510, oredict.blockDustAntimony.name
gregtech:gt.meta.storage.dust:530, oredict.blockDustIodine.name
gregtech:gt.meta.storage.dust:600, oredict.blockDustNeodymium.name
gregtech:gt.meta.storage.dust:720, oredict.blockDustHafnium.name
gregtech:gt.meta.storage.dust:730, oredict.blockDustTantalum.name
gregtech:gt.meta.storage.dust:740, oredict.blockDustTungsten.name
gregtech:gt.meta.storage.dust:750, oredict.blockDustRhenium.name
gregtech:gt.meta.storage.dust:760, oredict.blockDustOsmium.name
gregtech:gt.meta.storage.dust:770, oredict.blockDustIridium.name
gregtech:gt.meta.storage.dust:780, oredict.blockDustPlatinum.name
gregtech:gt.meta.storage.dust:790, oredict.blockDustGold.name
gregtech:gt.meta.storage.dust:800, oredict.blockDustMercury.name
gregtech:gt.meta.storage.dust:820, oredict.blockDustLead.name
gregtech:gt.meta.storage.dust:830, oredict.blockDustBismuth.name
gregtech:gt.meta.storage.dust:880, oredict.blockDustRadium.name
gregtech:gt.meta.storage.dust:900, oredict.blockDustThorium.name
gregtech:gt.meta.storage.dust:920, oredict.blockDustUranium.name
gregtech:gt.meta.storage.dust:921, oredict.blockDustUranium235.name
gregtech:gt.meta.storage.dust:940, oredict.blockDustPlutonium.name
gregtech:gt.meta.storage.dust:943, oredict.blockDustPlutonium241.name
gregtech:gt.meta.storage.dust:945, oredict.blockDustPlutonium243.name
gregtech:gt.meta.storage.dust:950, oredict.blockDustAmericium.name
gregtech:gt.meta.storage.dust:951, oredict.blockDustAmericium241.name
gregtech:gt.meta.storage.dust:1250, oredict.blockDustTritaniumElemental.name
gregtech:gt.meta.storage.dust:1260, oredict.blockDustTrinium.name
gregtech:gt.meta.storage.dust:1450, oredict.blockDustDuraniumElemental.name
gregtech:gt.meta.storage.dust:1520, oredict.blockDustVibranium.name
gregtech:gt.meta.storage.dust:1740, oredict.blockDustNaquadah.name
gregtech:gt.meta.storage.dust:1741, oredict.blockDustNaquadahEnriched.name
gregtech:gt.meta.storage.dust:1742, oredict.blockDustNaquadria.name
gregtech:gt.meta.storage.dust:2220, oredict.blockDustAdamantium.name
gregtech:gt.meta.storage.dust:8000, oredict.blockDustSiliconDioxide.name
gregtech:gt.meta.storage.dust:8001, oredict.blockDustGlass.name
gregtech:gt.meta.storage.dust:8002, oredict.blockDustFlint.name
gregtech:gt.meta.storage.dust:8102, oredict.blockDustSluiceSand.name
gregtech:gt.meta.storage.dust:8103, oredict.blockDustPlatinumGroupSludge.name
gregtech:gt.meta.storage.dust:8200, oredict.blockDustAshes.name
gregtech:gt.meta.storage.dust:8201, oredict.blockDustDarkAshes.name
gregtech:gt.meta.storage.dust:8202, oredict.blockDustVolcanicAshes.name
gregtech:gt.meta.storage.dust:8203, oredict.blockDustRockSalt.name
gregtech:gt.meta.storage.dust:8204, oredict.blockDustSalt.name
gregtech:gt.meta.storage.dust:8205, oredict.blockDustSaltpeter.name
gregtech:gt.meta.storage.dust:8206, oredict.blockDustNiter.name
gregtech:gt.meta.storage.dust:8207, oredict.blockDustPhosphate.name
gregtech:gt.meta.storage.dust:8208, oredict.blockDustPhosphorus.name
gregtech:gt.meta.storage.dust:8209, oredict.blockDustApatite.name
gregtech:gt.meta.storage.dust:8210, oredict.blockDustBlizz.name
gregtech:gt.meta.storage.dust:8211, oredict.blockDustBlaze.name
gregtech:gt.meta.storage.dust:8212, oredict.blockDustPyrotheum.name
gregtech:gt.meta.storage.dust:8213, oredict.blockDustCryotheum.name
gregtech:gt.meta.storage.dust:8214, oredict.blockDustObsidian.name
gregtech:gt.meta.storage.dust:8215, oredict.blockDustClay.name
gregtech:gt.meta.storage.dust:8216, oredict.blockDustPaper.name
gregtech:gt.meta.storage.dust:8217, oredict.blockDustRubber.name
gregtech:gt.meta.storage.dust:8218, oredict.blockDustPlastic.name
gregtech:gt.meta.storage.dust:8219, oredict.blockDustBone.name
gregtech:gt.meta.storage.dust:8220, oredict.blockDustGunpowder.name
gregtech:gt.meta.storage.dust:8221, oredict.blockDustWood.name
gregtech:gt.meta.storage.dust:8222, oredict.blockDustWoodSealed.name
gregtech:gt.meta.storage.dust:8223, oredict.blockDustLiveRoot.name
gregtech:gt.meta.storage.dust:8224, oredict.blockDustWoodRubber.name
gregtech:gt.meta.storage.dust:8225, oredict.blockDustCeramic.name
gregtech:gt.meta.storage.dust:8226, oredict.blockDustPhosphorite.name
gregtech:gt.meta.storage.dust:8228, oredict.blockDustIndigo.name
gregtech:gt.meta.storage.dust:8229, oredict.blockDustCobaltHexahydrate.name
gregtech:gt.meta.storage.dust:8230, oredict.blockDustSodiumBisulfate.name
gregtech:gt.meta.storage.dust:8231, oredict.blockDustSodiumPyrosulfate.name
gregtech:gt.meta.storage.dust:8232, oredict.blockDustPotassiumBisulfate.name
gregtech:gt.meta.storage.dust:8233, oredict.blockDustPotassiumPyrosulfate.name
gregtech:gt.meta.storage.dust:8234, oredict.blockDustVanadiumPentoxide.name
gregtech:gt.meta.storage.dust:8235, oredict.blockDustWax.name
gregtech:gt.meta.storage.dust:8236, oredict.blockDustWaxBee.name
gregtech:gt.meta.storage.dust:8237, oredict.blockDustWaxRefractory.name
gregtech:gt.meta.storage.dust:8238, oredict.blockDustWaxParaffin.name
gregtech:gt.meta.storage.dust:8239, oredict.blockDustWaxPlant.name
gregtech:gt.meta.storage.dust:8240, oredict.blockDustWaxMagic.name
gregtech:gt.meta.storage.dust:8242, oredict.blockDustIodineSalt.name
gregtech:gt.meta.storage.dust:8243, oredict.blockDustSilverIodide.name
gregtech:gt.meta.storage.dust:8244, oredict.blockDustTallow.name
gregtech:gt.meta.storage.dust:8245, oredict.blockDustPetrotheum.name
gregtech:gt.meta.storage.dust:8246, oredict.blockDustAerotheum.name
gregtech:gt.meta.storage.dust:8247, oredict.blockDustBasalz.name
gregtech:gt.meta.storage.dust:8248, oredict.blockDustBlitz.name
gregtech:gt.meta.storage.dust:8250, oredict.blockDustBlack.name
gregtech:gt.meta.storage.dust:8251, oredict.blockDustRed.name
gregtech:gt.meta.storage.dust:8252, oredict.blockDustGreen.name
gregtech:gt.meta.storage.dust:8253, oredict.blockDustBrown.name
gregtech:gt.meta.storage.dust:8254, oredict.blockDustBlue.name
gregtech:gt.meta.storage.dust:8255, oredict.blockDustPurple.name
gregtech:gt.meta.storage.dust:8256, oredict.blockDustCyan.name
gregtech:gt.meta.storage.dust:8257, oredict.blockDustLightGray.name
gregtech:gt.meta.storage.dust:8258, oredict.blockDustGray.name
gregtech:gt.meta.storage.dust:8259, oredict.blockDustPink.name
gregtech:gt.meta.storage.dust:8260, oredict.blockDustLime.name
gregtech:gt.meta.storage.dust:8261, oredict.blockDustYellow.name
gregtech:gt.meta.storage.dust:8262, oredict.blockDustLightBlue.name
gregtech:gt.meta.storage.dust:8263, oredict.blockDustMagenta.name
gregtech:gt.meta.storage.dust:8264, oredict.blockDustOrange.name
gregtech:gt.meta.storage.dust:8265, oredict.blockDustWhite.name
gregtech:gt.meta.storage.dust:8300, oredict.blockDustDiamond.name
gregtech:gt.meta.storage.dust:8301, oredict.blockDustEmerald.name
gregtech:gt.meta.storage.dust:8302, oredict.blockDustRuby.name
gregtech:gt.meta.storage.dust:8303, oredict.blockDustBalasRuby.name
gregtech:gt.meta.storage.dust:8304, oredict.blockDustSapphire.name
gregtech:gt.meta.storage.dust:8305, oredict.blockDustGreenSapphire.name
gregtech:gt.meta.storage.dust:8306, oredict.blockDustTopaz.name
gregtech:gt.meta.storage.dust:8307, oredict.blockDustBlueTopaz.name
gregtech:gt.meta.storage.dust:8308, oredict.blockDustTanzanite.name
gregtech:gt.meta.storage.dust:8309, oredict.blockDustJasper.name
gregtech:gt.meta.storage.dust:8310, oredict.blockDustAmber.name
gregtech:gt.meta.storage.dust:8311, oredict.blockDustOlivine.name
gregtech:gt.meta.storage.dust:8312, oredict.blockDustOpal.name
gregtech:gt.meta.storage.dust:8313, oredict.blockDustAmethyst.name
gregtech:gt.meta.storage.dust:8314, oredict.blockDustOrangeSapphire.name
gregtech:gt.meta.storage.dust:8315, oredict.blockDustYellowSapphire.name
gregtech:gt.meta.storage.dust:8316, oredict.blockDustVinteum.name
gregtech:gt.meta.storage.dust:8317, oredict.blockDustDilithium.name
gregtech:gt.meta.storage.dust:8318, oredict.blockDustEnderPearl.name
gregtech:gt.meta.storage.dust:8319, oredict.blockDustEnderEye.name
gregtech:gt.meta.storage.dust:8320, oredict.blockDustNetherStar.name
gregtech:gt.meta.storage.dust:8321, oredict.blockDustJade.name
gregtech:gt.meta.storage.dust:8322, oredict.blockDustCraponite.name
gregtech:gt.meta.storage.dust:8323, oredict.blockDustAquamarine.name
gregtech:gt.meta.storage.dust:8324, oredict.blockDustMorganite.name
gregtech:gt.meta.storage.dust:8325, oredict.blockDustDioptase.name
gregtech:gt.meta.storage.dust:8326, oredict.blockDustSpinel.name
gregtech:gt.meta.storage.dust:8328, oredict.blockDustBlueSapphire.name
gregtech:gt.meta.storage.dust:8330, oredict.blockDustLazurite.name
gregtech:gt.meta.storage.dust:8331, oredict.blockDustSodalite.name
gregtech:gt.meta.storage.dust:8332, oredict.blockDustLapis.name
gregtech:gt.meta.storage.dust:8333, oredict.blockDustRedstone.name
gregtech:gt.meta.storage.dust:8334, oredict.blockDustCoal.name
gregtech:gt.meta.storage.dust:8335, oredict.blockDustHydratedCoal.name
gregtech:gt.meta.storage.dust:8336, oredict.blockDustCharcoal.name
gregtech:gt.meta.storage.dust:8337, oredict.blockDustLignite.name
gregtech:gt.meta.storage.dust:8338, oredict.blockDustMonazite.name
gregtech:gt.meta.storage.dust:8339, oredict.blockDustTeslatite.name
gregtech:gt.meta.storage.dust:8340, oredict.blockDustNikolite.name
gregtech:gt.meta.storage.dust:8341, oredict.blockDustGlowstone.name
gregtech:gt.meta.storage.dust:8342, oredict.blockDustFirestone.name
gregtech:gt.meta.storage.dust:8343, oredict.blockDustForce.name
gregtech:gt.meta.storage.dust:8344, oredict.blockDustForcicium.name
gregtech:gt.meta.storage.dust:8345, oredict.blockDustForcillium.name
gregtech:gt.meta.storage.dust:8346, oredict.blockDustNetherQuartz.name
gregtech:gt.meta.storage.dust:8347, oredict.blockDustCertusQuartz.name
gregtech:gt.meta.storage.dust:8348, oredict.blockDustChargedCertusQuartz.name
gregtech:gt.meta.storage.dust:8349, oredict.blockDustCoalCoke.name
gregtech:gt.meta.storage.dust:8352, oredict.blockDustInfusedAir.name
gregtech:gt.meta.storage.dust:8353, oredict.blockDustInfusedFire.name
gregtech:gt.meta.storage.dust:8354, oredict.blockDustInfusedEarth.name
gregtech:gt.meta.storage.dust:8355, oredict.blockDustInfusedWater.name
gregtech:gt.meta.storage.dust:8356, oredict.blockDustInfusedEntropy.name
gregtech:gt.meta.storage.dust:8357, oredict.blockDustInfusedOrder.name
gregtech:gt.meta.storage.dust:8359, oredict.blockDustElectrotine.name
gregtech:gt.meta.storage.dust:8360, oredict.blockDustPeat.name
gregtech:gt.meta.storage.dust:8361, oredict.blockDustPeatBituminous.name
gregtech:gt.meta.storage.dust:8362, oredict.blockDustAnthracite.name
gregtech:gt.meta.storage.dust:8363, oredict.blockDustPrismane.name
gregtech:gt.meta.storage.dust:8364, oredict.blockDustLonsdaleite.name
gregtech:gt.meta.storage.dust:8500, oredict.blockDustStone.name
gregtech:gt.meta.storage.dust:8501, oredict.blockDustConcrete.name
gregtech:gt.meta.storage.dust:8502, oredict.blockDustNetherrack.name
gregtech:gt.meta.storage.dust:8503, oredict.blockDustNetherBrick.name
gregtech:gt.meta.storage.dust:8504, oredict.blockDustEndstone.name
gregtech:gt.meta.storage.dust:8505, oredict.blockDustBasalt.name
gregtech:gt.meta.storage.dust:8506, oredict.blockDustMarble.name
gregtech:gt.meta.storage.dust:8507, oredict.blockDustGraniteRed.name
gregtech:gt.meta.storage.dust:8508, oredict.blockDustGraniteBlack.name
gregtech:gt.meta.storage.dust:8509, oredict.blockDustRedrock.name
gregtech:gt.meta.storage.dust:8510, oredict.blockDustGravel.name
gregtech:gt.meta.storage.dust:8511, oredict.blockDustDiorite.name
gregtech:gt.meta.storage.dust:8599, oredict.blockDustBedrock.name
gregtech:gt.meta.storage.dust:8600, oredict.blockDustElectrum.name
gregtech:gt.meta.storage.dust:8601, oredict.blockDustSterlingSilver.name
gregtech:gt.meta.storage.dust:8602, oredict.blockDustRoseGold.name
gregtech:gt.meta.storage.dust:8603, oredict.blockDustAngmallen.name
gregtech:gt.meta.storage.dust:8604, oredict.blockDustGoldInductive.name
gregtech:gt.meta.storage.dust:8605, oredict.blockDustCdInAgAlloy.name
gregtech:gt.meta.storage.dust:8606, oredict.blockDustGildedIron.name
gregtech:gt.meta.storage.dust:8610, oredict.blockDustBronze.name
gregtech:gt.meta.storage.dust:8611, oredict.blockDustBlackBronze.name
gregtech:gt.meta.storage.dust:8612, oredict.blockDustBismuthBronze.name
gregtech:gt.meta.storage.dust:8613, oredict.blockDustHepatizon.name
gregtech:gt.meta.storage.dust:8620, oredict.blockDustBrass.name
gregtech:gt.meta.storage.dust:8621, oredict.blockDustCobaltBrass.name
gregtech:gt.meta.storage.dust:8622, oredict.blockDustAluminiumAlloy.name
gregtech:gt.meta.storage.dust:8630, oredict.blockDustSteel.name
gregtech:gt.meta.storage.dust:8631, oredict.blockDustBlackSteel.name
gregtech:gt.meta.storage.dust:8632, oredict.blockDustRedSteel.name
gregtech:gt.meta.storage.dust:8633, oredict.blockDustBlueSteel.name
gregtech:gt.meta.storage.dust:8634, oredict.blockDustDamascusSteel.name
gregtech:gt.meta.storage.dust:8635, oredict.blockDustTungstensteel.name
gregtech:gt.meta.storage.dust:8636, oredict.blockDustStainlessSteel.name
gregtech:gt.meta.storage.dust:8637, oredict.blockDustHSLASteel.name
gregtech:gt.meta.storage.dust:8638, oredict.blockDustTungstenCarbide.name
gregtech:gt.meta.storage.dust:8639, oredict.blockDustHSLASpringSteel.name
gregtech:gt.meta.storage.dust:8640, oredict.blockDustAnnealedCopper.name
gregtech:gt.meta.storage.dust:8641, oredict.blockDustDeepIron.name
gregtech:gt.meta.storage.dust:8642, oredict.blockDustPigIron.name
gregtech:gt.meta.storage.dust:8643, oredict.blockDustWroughtIron.name
gregtech:gt.meta.storage.dust:8644, oredict.blockDustIronCompressed.name
gregtech:gt.meta.storage.dust:8645, oredict.blockDustIronMagnetic.name
gregtech:gt.meta.storage.dust:8646, oredict.blockDustSteelMagnetic.name
gregtech:gt.meta.storage.dust:8647, oredict.blockDustNeodymiumMagnetic.name
gregtech:gt.meta.storage.dust:8648, oredict.blockDustDarkIron.name
gregtech:gt.meta.storage.dust:8649, oredict.blockDustMeteoricIron.name
gregtech:gt.meta.storage.dust:8650, oredict.blockDustMeteoricSteel.name
gregtech:gt.meta.storage.dust:8651, oredict.blockDustSteelGalvanized.name
gregtech:gt.meta.storage.dust:8658, oredict.blockDustElectrotineAlloy.name
gregtech:gt.meta.storage.dust:8659, oredict.blockDustBlueAlloy.name
gregtech:gt.meta.storage.dust:8660, oredict.blockDustRedAlloy.name
gregtech:gt.meta.storage.dust:8661, oredict.blockDustInvar.name
gregtech:gt.meta.storage.dust:8662, oredict.blockDustCupronickel.name
gregtech:gt.meta.storage.dust:8663, oredict.blockDustNichrome.name
gregtech:gt.meta.storage.dust:8664, oredict.blockDustKanthal.name
gregtech:gt.meta.storage.dust:8665, oredict.blockDustMagnalium.name
gregtech:gt.meta.storage.dust:8666, oredict.blockDustUltimet.name
gregtech:gt.meta.storage.dust:8667, oredict.blockDustTinAlloy.name
gregtech:gt.meta.storage.dust:8668, oredict.blockDustBatteryAlloy.name
gregtech:gt.meta.storage.dust:8669, oredict.blockDustSolderingAlloy.name
gregtech:gt.meta.storage.dust:8670, oredict.blockDustShadowIron.name
gregtech:gt.meta.storage.dust:8671, oredict.blockDustShadowSteel.name
gregtech:gt.meta.storage.dust:8672, oredict.blockDustIronWood.name
gregtech:gt.meta.storage.dust:8673, oredict.blockDustSteeleaf.name
gregtech:gt.meta.storage.dust:8674, oredict.blockDustKnightmetal.name
gregtech:gt.meta.storage.dust:8675, oredict.blockDustFierySteel.name
gregtech:gt.meta.storage.dust:8676, oredict.blockDustAstralSilver.name
gregtech:gt.meta.storage.dust:8677, oredict.blockDustMidasium.name
gregtech:gt.meta.storage.dust:8678, oredict.blockDustMithril.name
gregtech:gt.meta.storage.dust:8679, oredict.blockDustThaumium.name
gregtech:gt.meta.storage.dust:8680, oredict.blockDustDarkThaumium.name
gregtech:gt.meta.storage.dust:8681, oredict.blockDustVoidMetal.name
gregtech:gt.meta.storage.dust:8682, oredict.blockDustOsmiridium.name
gregtech:gt.meta.storage.dust:8683, oredict.blockDustSunnarium.name
gregtech:gt.meta.storage.dust:8684, oredict.blockDustTrinaquadalloy.name
gregtech:gt.meta.storage.dust:8685, oredict.blockDustChromiumDioxide.name
gregtech:gt.meta.storage.dust:8686, oredict.blockDustVanadiumGallium.name
gregtech:gt.meta.storage.dust:8687, oredict.blockDustYttriumBariumCuprate.name
gregtech:gt.meta.storage.dust:8688, oredict.blockDustNiobiumNitride.name
gregtech:gt.meta.storage.dust:8689, oredict.blockDustNiobiumTitanium.name
gregtech:gt.meta.storage.dust:8700, oredict.blockDustAluminiumBrass.name
gregtech:gt.meta.storage.dust:8701, oredict.blockDustAredrite.name
gregtech:gt.meta.storage.dust:8702, oredict.blockDustAlumite.name
gregtech:gt.meta.storage.dust:8703, oredict.blockDustManyullyn.name
gregtech:gt.meta.storage.dust:8704, oredict.blockDustVibraniumSteel.name
gregtech:gt.meta.storage.dust:8705, oredict.blockDustVibraniumSilver.name
gregtech:gt.meta.storage.dust:8706, oredict.blockDustVibramantium.name
gregtech:gt.meta.storage.dust:8707, oredict.blockDustArdite.name
gregtech:gt.meta.storage.dust:8708, oredict.blockDustSignalum.name
gregtech:gt.meta.storage.dust:8709, oredict.blockDustLumium.name
gregtech:gt.meta.storage.dust:8710, oredict.blockDustEnderium.name
gregtech:gt.meta.storage.dust:8711, oredict.blockDustElectrumFlux.name
gregtech:gt.meta.storage.dust:8715, oredict.blockDustYellorium.name
gregtech:gt.meta.storage.dust:8716, oredict.blockDustBlutonium.name
gregtech:gt.meta.storage.dust:8717, oredict.blockDustCyanite.name
gregtech:gt.meta.storage.dust:8718, oredict.blockDustBedrockHSLAAlloy.name
gregtech:gt.meta.storage.dust:8720, oredict.blockDustManasteel.name
gregtech:gt.meta.storage.dust:8721, oredict.blockDustTerrasteel.name
gregtech:gt.meta.storage.dust:8722, oredict.blockDustElvenElementium.name
gregtech:gt.meta.storage.dust:8725, oredict.blockDustPulsatingIron.name
gregtech:gt.meta.storage.dust:8726, oredict.blockDustVibrantAlloy.name
gregtech:gt.meta.storage.dust:8727, oredict.blockDustConductiveIron.name
gregtech:gt.meta.storage.dust:8728, oredict.blockDustEnergeticAlloy.name
gregtech:gt.meta.storage.dust:8729, oredict.blockDustEnderiumBase.name
gregtech:gt.meta.storage.dust:8730, oredict.blockDustElectricalSteel.name
gregtech:gt.meta.storage.dust:8731, oredict.blockDustDarkSteel.name
gregtech:gt.meta.storage.dust:8732, oredict.blockDustSoularium.name
gregtech:gt.meta.storage.dust:8733, oredict.blockDustRedstoneAlloy.name
gregtech:gt.meta.storage.dust:8750, oredict.blockDustDesh.name
gregtech:gt.meta.storage.dust:8751, oredict.blockDustDuranium.name
gregtech:gt.meta.storage.dust:8752, oredict.blockDustTritanium.name
gregtech:gt.meta.storage.dust:8753, oredict.blockDustDolamide.name
gregtech:gt.meta.storage.dust:8760, oredict.blockDustAlduorite.name
gregtech:gt.meta.storage.dust:8761, oredict.blockDustInfuscolium.name
gregtech:gt.meta.storage.dust:8762, oredict.blockDustRubracium.name
gregtech:gt.meta.storage.dust:8763, oredict.blockDustMeutoite.name
gregtech:gt.meta.storage.dust:8764, oredict.blockDustLemurite.name
gregtech:gt.meta.storage.dust:8765, oredict.blockDustCeruclase.name
gregtech:gt.meta.storage.dust:8766, oredict.blockDustAtlarus.name
gregtech:gt.meta.storage.dust:8767, oredict.blockDustOureclase.name
gregtech:gt.meta.storage.dust:8768, oredict.blockDustKalendrite.name
gregtech:gt.meta.storage.dust:8769, oredict.blockDustOrichalcum.name
gregtech:gt.meta.storage.dust:8770, oredict.blockDustCarmot.name
gregtech:gt.meta.storage.dust:8771, oredict.blockDustSanguinite.name
gregtech:gt.meta.storage.dust:8772, oredict.blockDustVyroxeres.name
gregtech:gt.meta.storage.dust:8773, oredict.blockDustEximite.name
gregtech:gt.meta.storage.dust:8774, oredict.blockDustPrometheum.name
gregtech:gt.meta.storage.dust:8775, oredict.blockDustIgnatius.name
gregtech:gt.meta.storage.dust:8776, oredict.blockDustVulcanite.name
gregtech:gt.meta.storage.dust:8777, oredict.blockDustInolashite.name
gregtech:gt.meta.storage.dust:8778, oredict.blockDustHaderoth.name
gregtech:gt.meta.storage.dust:8779, oredict.blockDustCelenegil.name
gregtech:gt.meta.storage.dust:8781, oredict.blockDustDesichalkos.name
gregtech:gt.meta.storage.dust:8782, oredict.blockDustTartarite.name
gregtech:gt.meta.storage.dust:8783, oredict.blockDustAmordrine.name
gregtech:gt.meta.storage.dust:8790, oredict.blockDustTrinitanium.name
gregtech:gt.meta.storage.dust:8791, oredict.blockDustDraconium.name
gregtech:gt.meta.storage.dust:8792, oredict.blockDustDraconiumAwakened.name
gregtech:gt.meta.storage.dust:9000, oredict.blockDustPumice.name
gregtech:gt.meta.storage.dust:9001, oredict.blockDustDiatomite.name
gregtech:gt.meta.storage.dust:9003, oredict.blockDustBasalticMineralSand.name
gregtech:gt.meta.storage.dust:9004, oredict.blockDustGraniticMineralSand.name
gregtech:gt.meta.storage.dust:9005, oredict.blockDustGarnetSand.name
gregtech:gt.meta.storage.dust:9006, oredict.blockDustQuartzSand.name
gregtech:gt.meta.storage.dust:9100, oredict.blockDustRareEarth.name
gregtech:gt.meta.storage.dust:9101, oredict.blockDustAlmandine.name
gregtech:gt.meta.storage.dust:9102, oredict.blockDustAndradite.name
gregtech:gt.meta.storage.dust:9103, oredict.blockDustAsbestos.name
gregtech:gt.meta.storage.dust:9104, oredict.blockDustHematite.name
gregtech:gt.meta.storage.dust:9105, oredict.blockDustBauxite.name
gregtech:gt.meta.storage.dust:9106, oredict.blockDustBrownLimonite.name
gregtech:gt.meta.storage.dust:9107, oredict.blockDustCalcite.name
gregtech:gt.meta.storage.dust:9108, oredict.blockDustCassiterite.name
gregtech:gt.meta.storage.dust:9109, oredict.blockDustCassiteriteSand.name
gregtech:gt.meta.storage.dust:9110, oredict.blockDustCelestine.name
gregtech:gt.meta.storage.dust:9111, oredict.blockDustChalcopyrite.name
gregtech:gt.meta.storage.dust:9112, oredict.blockDustChalk.name
gregtech:gt.meta.storage.dust:9113, oredict.blockDustChromite.name
gregtech:gt.meta.storage.dust:9114, oredict.blockDustCinnabar.name
gregtech:gt.meta.storage.dust:9115, oredict.blockDustCobaltite.name
gregtech:gt.meta.storage.dust:9116, oredict.blockDustCooperite.name
gregtech:gt.meta.storage.dust:9117, oredict.blockDustGalena.name
gregtech:gt.meta.storage.dust:9118, oredict.blockDustGarnierite.name
gregtech:gt.meta.storage.dust:9119, oredict.blockDustGrossular.name
gregtech:gt.meta.storage.dust:9120, oredict.blockDustIlmenite.name
gregtech:gt.meta.storage.dust:9121, oredict.blockDustMagnesite.name
gregtech:gt.meta.storage.dust:9122, oredict.blockDustMagnetite.name
gregtech:gt.meta.storage.dust:9123, oredict.blockDustMolybdenite.name
gregtech:gt.meta.storage.dust:9124, oredict.blockDustPowellite.name
gregtech:gt.meta.storage.dust:9125, oredict.blockDustPyrite.name
gregtech:gt.meta.storage.dust:9126, oredict.blockDustPyrolusite.name
gregtech:gt.meta.storage.dust:9127, oredict.blockDustPyrope.name
gregtech:gt.meta.storage.dust:9128, oredict.blockDustScheelite.name
gregtech:gt.meta.storage.dust:9129, oredict.blockDustSpessartine.name
gregtech:gt.meta.storage.dust:9130, oredict.blockDustSphalerite.name
gregtech:gt.meta.storage.dust:9131, oredict.blockDustStibnite.name
gregtech:gt.meta.storage.dust:9132, oredict.blockDustTetrahedrite.name
gregtech:gt.meta.storage.dust:9133, oredict.blockDustTungstate.name
gregtech:gt.meta.storage.dust:9134, oredict.blockDustUraninite.name
